feed_version,feed_start_date,feed_end_date,fare_id,route_id,origin_id,destination_id,contains_id,versao_modelo
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0685AAVBA,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0919AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0625AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0945AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0921AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0979AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0239AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0238AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0254AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0627AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0328AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0669AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0906AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0925AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0362AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0355AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0324AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0951AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0908AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0629AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0456AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0378AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0624AAV0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0498AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0624AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0483AAPBA,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0780AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0325AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0639AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0362AAR0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0455AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0328AAP0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0457AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0975AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0326AAPBA,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0696AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0905AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0486AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0386AAR0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0622AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0296AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0922AAV0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0497AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0249AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0483AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0629AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0277AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0795AAP0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0908AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0696AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
