route_short_name,n_paradas,crimes_medio,crimes_max,crimes_total,pct_sem_crime,price,crimes_dia_max,crimes_dia_min,crimes_dia_std,crimes_hora_max,crimes_hora_min,crimes_hora_std,nivel_perigo_score,cluster,perfil_risco,route_id,indicador_ar_condicionado,duracao_viagem,ano_fabricacao,crimes_pico_manha,crimes_pico_tarde,crimes_noturnos,crimes_fim_semana
826,43,0.58,3.0,39.0,95.52,5.0,6,2,1.7320508075688772,6,0,1.9261736493723074,0.12,1,Baixo Risco,O0826AAA0A,0.6,36.96,2013.7,7,6,7,9
829,31,10.58,35.0,1121.0,22.64,5.0,57,16,14.302846869467231,26,0,8.144972664788073,3.73,0,Médio Risco,O0829AAA0A,0.0,10.14,2010.3,27,63,75,85
830,41,0.7,5.0,45.0,85.94,5.0,14,0,5.871642911161277,9,0,2.620985543148093,0.27,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,9,9,12
831,37,3.08,12.0,305.0,54.55,5.0,29,6,8.159131606453506,19,0,6.100457336146605,1.13,1,Baixo Risco,O0831AAA0A,0.0,15.5,2010.0,2,19,43,41
833,58,0.76,5.0,159.0,84.29,5.0,17,0,6.768273325562718,11,0,3.610572237756499,0.6,1,Baixo Risco,O0833AAA0A,0.304,30.02,2011.17,0,12,13,10
834,59,1.18,6.0,328.0,81.0,5.0,30,0,11.437199124327766,34,0,7.901453727922018,1.6,1,Baixo Risco,O0834AAA0A,1.0,33.65,2016.25,0,18,12,29
835,56,0.58,6.0,118.0,95.05,5.0,10,2,2.734262327610589,18,0,4.328662477091475,0.55,1,Baixo Risco,O0835AAA0A,1.0,29.74,2015.75,2,4,3,10
836,56,0.7,6.0,167.0,87.92,5.0,13,0,3.9940431835899006,12,0,3.3868886153450073,0.52,1,Baixo Risco,O0836AAA0A,1.0,30.93,2016.57,5,4,12,13
837,35,1.07,6.0,96.0,88.89,5.0,10,0,3.352326839390103,12,0,3.559026084010437,0.34,1,Baixo Risco,O0837AAA0A,1.0,27.73,2015.87,8,4,3,10
838,89,1.09,6.0,251.0,79.65,5.0,30,3,10.854009572942333,30,0,7.686686212376322,1.26,1,Baixo Risco,O0838AAA0A,1.0,44.76,2015.4,8,29,17,31
840,102,1.55,6.0,582.0,64.89,5.0,35,10,9.96422170998389,19,0,5.503457411324345,1.71,1,Baixo Risco,O0840AAA0A,0.096,58.08,2010.84,19,47,51,48
841,69,1.15,5.0,328.0,71.58,5.0,26,0,10.172324733127157,18,0,4.806396703910562,1.19,1,Baixo Risco,O0841AAA0A,0.0,12.81,2010.0,0,12,38,26
842,60,1.22,6.0,137.0,74.11,5.0,20,5,6.454972243679028,14,0,3.977973775971737,0.51,1,Baixo Risco,O0842AAA0A,0.0,22.59,2010.29,5,14,30,19
843,39,0.87,6.0,67.0,87.01,5.0,10,0,3.8047589248453675,12,0,3.3997016066844394,0.31,1,Baixo Risco,O0843AAA0A,1.0,24.26,2015.28,0,6,3,10
844,21,0.33,2.0,21.0,90.48,5.0,4,0,1.7320508075688772,3,0,0.8064504441319255,0.08,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,4,0,0
845,53,0.55,6.0,49.0,94.38,5.0,10,3,2.699206232527312,14,0,3.6939041049047123,0.26,1,Baixo Risco,O0845AAA0A,1.0,40.88,2015.4,2,5,3,10
846,48,0.61,2.0,80.0,97.71,5.0,11,0,4.0296519996266715,15,0,3.865257739311099,0.28,1,Baixo Risco,O0846AAA0A,0.01,24.63,2011.44,10,0,8,4
847,49,0.72,2.0,64.0,89.89,5.0,11,0,4.613644360558612,15,0,3.7522939843417844,0.27,1,Baixo Risco,O0847AAA0A,0.0,22.09,2011.67,10,3,10,4
848,23,1.18,2.0,80.0,82.35,5.0,11,0,4.220133150686576,11,0,2.8023670119320947,0.31,1,Baixo Risco,O0848AAA0A,0.0,20.1,2011.61,7,0,0,0
849,89,1.43,6.0,470.0,64.63,5.0,31,4,10.952277432222987,20,0,5.096176458164848,1.75,1,Baixo Risco,O0849AAA0A,0.355,43.11,2011.33,14,29,47,35
850,57,0.78,5.0,133.0,83.53,5.0,20,0,7.502380574571933,11,0,3.3489669616383093,0.56,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,9,21,16
851,82,1.31,6.0,192.0,77.55,5.0,35,7,9.805246409084125,29,0,7.45372195714951,1.16,1,Baixo Risco,O0851AAA0A,1.0,25.7,2015.13,19,15,13,29
